x,y,critical_factor,m,n_percent,n,fpp,fpr
2,3,0.001,1,0.35,0,0,0.0
2,3,0.001,1,0.65,0,0,0.0
2,3,0.001,1,0.95,0,0,0.0
2,3,0.005,1,0.35,0,0,0.0
2,3,0.005,1,0.65,0,0,0.0
2,3,0.005,1,0.95,0,0,0.0
2,3,0.01,1,0.35,0,0,0.0
2,3,0.01,1,0.65,0,0,0.0
2,3,0.01,1,0.95,0,0,0.0
2,3,0.05,1,0.35,0,0,0.0
2,3,0.05,1,0.65,0,0,0.0
2,3,0.05,1,0.95,0,0,0.0
2,3,0.1,1,0.35,0,0,0.0
2,3,0.1,1,0.65,0,0,0.0
2,3,0.1,1,0.95,0,0,0.0
2,3,0.5,3,0.35,1,1,0.28346868942621073
2,3,0.5,3,0.65,1,1,0.28346868942621073
2,3,0.5,3,0.95,2,1,0.486582880967408
2,5,0.001,1,0.35,0,0,0.0
2,5,0.001,1,0.65,0,0,0.0
2,5,0.001,1,0.95,0,0,0.0
2,5,0.005,1,0.35,0,0,0.0
2,5,0.005,1,0.65,0,0,0.0
2,5,0.005,1,0.95,0,0,0.0
2,5,0.01,1,0.35,0,0,0.0
2,5,0.01,1,0.65,0,0,0.0
2,5,0.01,1,0.95,0,0,0.0
2,5,0.05,1,0.35,0,0,0.0
2,5,0.05,1,0.65,0,0,0.0
2,5,0.05,1,0.95,0,0,0.0
2,5,0.1,1,0.35,0,0,0.0
2,5,0.1,1,0.65,0,0,0.0
2,5,0.1,1,0.95,0,0,0.0
2,5,0.5,5,0.35,1,1,0.18126924692201818
2,5,0.5,5,0.65,3,1,0.4511883639059735
2,5,0.5,5,0.95,4,1,0.5506710358827784
2,7,0.001,1,0.35,0,0,0.0
2,7,0.001,1,0.65,0,0,0.0
2,7,0.001,1,0.95,0,0,0.0
2,7,0.005,1,0.35,0,0,0.0
2,7,0.005,1,0.65,0,0,0.0
2,7,0.005,1,0.95,0,0,0.0
2,7,0.01,1,0.35,0,0,0.0
2,7,0.01,1,0.65,0,0,0.0
2,7,0.01,1,0.95,0,0,0.0
2,7,0.05,1,0.35,0,0,0.0
2,7,0.05,1,0.65,0,0,0.0
2,7,0.05,1,0.95,0,0,0.0
2,7,0.1,2,0.35,0,0,0.0
2,7,0.1,2,0.65,1,1,0.3934693402873666
2,7,0.1,2,0.95,1,1,0.3934693402873666
2,7,0.5,7,0.35,2,1,0.248522706924714
2,7,0.5,7,0.65,4,1,0.4352818779922407
2,7,0.5,7,0.95,6,1,0.57562715432305
2,11,0.001,1,0.35,0,0,0.0
2,11,0.001,1,0.65,0,0,0.0
2,11,0.001,1,0.95,0,0,0.0
2,11,0.005,1,0.35,0,0,0.0
2,11,0.005,1,0.65,0,0,0.0
2,11,0.005,1,0.95,0,0,0.0
2,11,0.01,1,0.35,0,0,0.0
2,11,0.01,1,0.65,0,0,0.0
2,11,0.01,1,0.95,0,0,0.0
2,11,0.05,2,0.35,0,0,0.0
2,11,0.05,2,0.65,1,1,0.3934693402873666
2,11,0.05,2,0.95,1,1,0.3934693402873666
2,11,0.1,3,0.35,1,1,0.28346868942621073
2,11,0.1,3,0.65,1,1,0.28346868942621073
2,11,0.1,3,0.95,2,1,0.486582880967408
2,11,0.5,11,0.35,3,1,0.23869961330312617
2,11,0.5,11,0.65,7,1,0.4707866584999497
2,11,0.5,11,0.95,10,1,0.5971096784708669
2,13,0.001,1,0.35,0,0,0.0
2,13,0.001,1,0.65,0,0,0.0
2,13,0.001,1,0.95,0,0,0.0
2,13,0.005,1,0.35,0,0,0.0
2,13,0.005,1,0.65,0,0,0.0
2,13,0.005,1,0.95,0,0,0.0
2,13,0.01,1,0.35,0,0,0.0
2,13,0.01,1,0.65,0,0,0.0
2,13,0.01,1,0.95,0,0,0.0
2,13,0.05,2,0.35,0,0,0.0
2,13,0.05,2,0.65,1,1,0.3934693402873666
2,13,0.05,2,0.95,1,1,0.3934693402873666
2,13,0.1,3,0.35,1,1,0.28346868942621073
2,13,0.1,3,0.65,1,1,0.28346868942621073
2,13,0.1,3,0.95,2,1,0.486582880967408
2,13,0.5,13,0.35,4,1,0.2648585194083155
2,13,0.5,13,0.65,8,1,0.4595670035134659
2,13,0.5,13,0.95,12,1,0.6027052868022886
2,17,0.001,1,0.35,0,0,0.0
2,17,0.001,1,0.65,0,0,0.0
2,17,0.001,1,0.95,0,0,0.0
2,17,0.005,1,0.35,0,0,0.0
2,17,0.005,1,0.65,0,0,0.0
2,17,0.005,1,0.95,0,0,0.0
2,17,0.01,1,0.35,0,0,0.0
2,17,0.01,1,0.65,0,0,0.0
2,17,0.01,1,0.95,0,0,0.0
2,17,0.05,2,0.35,0,0,0.0
2,17,0.05,2,0.65,1,1,0.3934693402873666
2,17,0.05,2,0.95,1,1,0.3934693402873666
2,17,0.1,4,0.35,1,1,0.22119921692859512
2,17,0.1,4,0.65,2,1,0.3934693402873666
2,17,0.1,4,0.95,3,1,0.5276334472589852
2,17,0.5,17,0.35,5,1,0.2548111829865195
2,17,0.5,17,0.65,11,1,0.4764165342850031
2,17,0.5,17,0.95,16,1,0.6098314565760232
2,19,0.001,1,0.35,0,0,0.0
2,19,0.001,1,0.65,0,0,0.0
2,19,0.001,1,0.95,0,0,0.0
2,19,0.005,1,0.35,0,0,0.0
2,19,0.005,1,0.65,0,0,0.0
2,19,0.005,1,0.95,0,0,0.0
2,19,0.01,1,0.35,0,0,0.0
2,19,0.01,1,0.65,0,0,0.0
2,19,0.01,1,0.95,0,0,0.0
2,19,0.05,2,0.35,0,0,0.0
2,19,0.05,2,0.65,1,1,0.3934693402873666
2,19,0.05,2,0.95,1,1,0.3934693402873666
2,19,0.1,4,0.35,1,1,0.22119921692859512
2,19,0.1,4,0.65,2,1,0.3934693402873666
2,19,0.1,4,0.95,3,1,0.5276334472589852
2,19,0.5,19,0.35,6,1,0.2707870474747649
2,19,0.5,19,0.65,12,1,0.46824846986942925
2,19,0.5,19,0.95,18,1,0.6122398967036751
2,23,0.001,1,0.35,0,0,0.0
2,23,0.001,1,0.65,0,0,0.0
2,23,0.001,1,0.95,0,0,0.0
2,23,0.005,1,0.35,0,0,0.0
2,23,0.005,1,0.65,0,0,0.0
2,23,0.005,1,0.95,0,0,0.0
2,23,0.01,1,0.35,0,0,0.0
2,23,0.01,1,0.65,0,0,0.0
2,23,0.01,1,0.95,0,0,0.0
2,23,0.05,3,0.35,1,1,0.28346868942621073
2,23,0.05,3,0.65,1,1,0.28346868942621073
2,23,0.05,3,0.95,2,1,0.486582880967408
2,23,0.1,5,0.35,1,1,0.18126924692201818
2,23,0.1,5,0.65,3,1,0.4511883639059735
2,23,0.1,5,0.95,4,1,0.5506710358827784
2,23,0.5,23,0.35,8,1,0.2937783133021936
2,23,0.5,23,0.65,14,1,0.4559399499918614
2,23,0.5,23,0.95,21,1,0.5986989873388808
2,29,0.001,1,0.35,0,0,0.0
2,29,0.001,1,0.65,0,0,0.0
2,29,0.001,1,0.95,0,0,0.0
2,29,0.005,1,0.35,0,0,0.0
2,29,0.005,1,0.65,0,0,0.0
2,29,0.005,1,0.95,0,0,0.0
2,29,0.01,1,0.35,0,0,0.0
2,29,0.01,1,0.65,0,0,0.0
2,29,0.01,1,0.95,0,0,0.0
2,29,0.05,3,0.35,1,1,0.28346868942621073
