x,y,critical_factor,m,n_percent,n,fpp,fpr
2,3,0.1,1,0.25,0,0.0,0.0
2,3,0.1,1,0.5,0,0.0,0.0
2,3,0.1,1,0.75,0,0.0,0.0
2,3,0.35,3,0.25,0,0.0,0.0
2,3,0.35,3,0.5,1,0.3333333333333333,0.28346868942621073
2,3,0.35,3,0.75,2,0.5555555555555556,0.486582880967408
2,3,0.6,4,0.25,1,0.25,0.22119921692859512
2,3,0.6,4,0.5,2,0.4375,0.3934693402873666
2,3,0.6,4,0.75,3,0.578125,0.5276334472589852
2,3,0.8499999999999999,6,0.25,1,0.16666666666666666,0.15351827510938587
2,3,0.8499999999999999,6,0.5,3,0.42129629629629595,0.3934693402873666
2,3,0.8499999999999999,6,0.75,4,0.5177469135802464,0.486582880967408
2,5,0.1,1,0.25,0,0.0,0.0
2,5,0.1,1,0.5,0,0.0,0.0
2,5,0.1,1,0.75,0,0.0,0.0
2,5,0.35,4,0.25,1,0.25,0.22119921692859512
2,5,0.35,4,0.5,2,0.4375,0.3934693402873666
2,5,0.35,4,0.75,3,0.578125,0.5276334472589852
2,5,0.6,6,0.25,1,0.16666666666666666,0.15351827510938587
2,5,0.6,6,0.5,3,0.42129629629629595,0.3934693402873666
2,5,0.6,6,0.75,4,0.5177469135802464,0.486582880967408
2,5,0.8499999999999999,9,0.25,2,0.2098765432099276,0.19926259708319194
2,5,0.8499999999999999,9,0.5,4,0.3757049230300238,0.3588196115700454
2,5,0.8499999999999999,9,0.75,6,0.5067298157274258,0.486582880967408
2,7,0.1,2,0.25,0,0.0,0.0
2,7,0.1,2,0.5,1,0.5,0.3934693402873666
2,7,0.1,2,0.75,1,0.5,0.3934693402873666
2,7,0.35,5,0.25,1,0.2,0.18126924692201818
2,7,0.35,5,0.5,2,0.35999999999999943,0.3296799539643607
2,7,0.35,5,0.75,3,0.4880000000000001,0.4511883639059735
2,7,0.6,9,0.25,2,0.2098765432099276,0.19926259708319194
2,7,0.6,9,0.5,4,0.3757049230300238,0.3588196115700454
2,7,0.6,9,0.75,6,0.5067298157274258,0.486582880967408
2,7,0.8499999999999999,12,0.25,3,0.229745370370952,0.22119921692859512
2,7,0.8499999999999999,12,0.5,6,0.40670780553399277,0.3934693402873666
2,7,0.8499999999999999,12,0.75,9,0.5430139404895282,0.5276334472589852
2,11,0.1,3,0.25,0,0.0,0.0
2,11,0.1,3,0.5,1,0.3333333333333333,0.28346868942621073
2,11,0.1,3,0.75,2,0.5555555555555556,0.486582880967408
2,11,0.35,8,0.25,2,0.234375,0.22119921692859512
2,11,0.35,8,0.5,4,0.413818359375,0.3934693402873666
2,11,0.35,8,0.75,6,0.5512046813964844,0.5276334472589852
2,11,0.6,14,0.25,3,0.19934402332839293,0.1928822529946107
2,11,0.6,14,0.5,7,0.4047392922257547,0.3934693402873666
2,11,0.6,14,0.75,10,0.523400956639946,0.5104583404430469
2,11,0.8499999999999999,19,0.25,4,0.1944813192476007,0.1898422650675733
2,11,0.8499999999999999,19,0.5,9,0.3852901993864305,0.3772961351522499
2,11,0.8499999999999999,19,0.75,14,0.5309008369369845,0.5213770274887679
2,13,0.1,3,0.25,0,0.0,0.0
2,13,0.1,3,0.5,1,0.3333333333333333,0.28346868942621073
2,13,0.1,3,0.75,2,0.5555555555555556,0.486582880967408
2,13,0.35,10,0.25,2,0.19000000000031592,0.18126924692201818
